latitude,longitude,acq_date
30.35514,-86.06008,2026-01-28
30.34463,-86.11715,2026-01-28
30.63774,-84.63345,2026-01-28
30.84492,-83.72356,2026-01-28
30.85392,-83.72555,2026-01-28
30.85056,-83.91782,2026-01-28
30.83234,-84.02879,2026-01-28
31.13893,-82.5043,2026-01-28
31.03145,-83.19585,2026-01-28
31.02979,-83.20635,2026-01-28
31.21937,-82.02892,2026-01-28
31.21786,-82.03905,2026-01-28
30.60503,-85.82792,2026-01-28
31.06786,-83.13876,2026-01-28
30.61503,-85.8304,2026-01-28
30.92821,-84.28484,2026-01-28
30.94883,-84.21885,2026-01-28
31.26942,-82.49593,2026-01-28
31.21449,-82.85478,2026-01-28
31.2129,-82.8651,2026-01-28
31.13161,-83.61437,2026-01-28
31.12986,-83.62513,2026-01-28
31.18251,-83.47047,2026-01-28
31.18081,-83.48112,2026-01-28
31.28769,-82.91875,2026-01-28
31.30278,-82.99691,2026-01-28
31.30117,-83.00729,2026-01-28
31.33247,-83.34536,2026-01-28
31.27638,-83.69778,2026-01-28
31.27464,-83.70857,2026-01-28
31.42396,-82.8158,2026-01-28
31.42238,-82.82611,2026-01-28
31.3717,-83.21812,2026-01-28
31.37144,-83.39237,2026-01-28
31.36975,-83.40295,2026-01-28
31.43483,-83.04834,2026-01-28
31.3803,-83.39432,2026-01-28
30.75629,-86.96825,2026-01-28
30.75324,-86.98425,2026-01-28
30.76702,-86.9709,2026-01-28
30.76397,-86.98703,2026-01-28
31.50115,-82.79539,2026-01-28
31.36114,-83.74471,2026-01-28
31.38907,-83.62804,2026-01-28
30.87856,-86.61008,2026-01-28
30.87578,-86.6252,2026-01-28
31.3169,-84.1289,2026-01-28
31.16565,-85.01308,2026-01-28
31.17512,-85.01533,2026-01-28
31.17299,-85.02753,2026-01-28
30.88347,-86.61805,2026-01-28
30.8806,-86.63319,2026-01-28
31.57979,-82.59614,2026-01-28
30.89107,-86.63581,2026-01-28
31.32069,-84.44707,2026-01-28
30.87981,-86.99023,2026-01-28
31.51329,-83.37541,2026-01-28
31.36028,-84.53355,2026-01-28
31.6903,-82.59339,2026-01-28
31.29873,-85.17829,2026-01-28
31.65475,-83.1188,2026-01-28
31.65313,-83.12923,2026-01-28
31.66496,-83.12758,2026-01-28
31.61156,-83.46396,2026-01-28
31.60986,-83.47456,2026-01-28
31.66091,-83.44193,2026-01-28
31.62392,-83.7886,2026-01-28
30.95006,-87.72462,2026-01-28
31.91403,-82.15739,2026-01-28
31.81682,-82.80205,2026-01-28
30.94779,-87.72875,2026-01-28
31.70181,-83.93589,2026-01-28
31.87016,-83.29287,2026-01-28
32.03186,-82.2937,2026-01-28
30.92309,-88.62563,2026-01-28
31.10653,-87.76028,2026-01-28
31.8696,-83.7607,2026-01-28
32.02712,-82.81664,2026-01-28
32.02554,-82.82695,2026-01-28
32.02396,-82.83727,2026-01-28
32.03427,-82.82882,2026-01-28
